brand,model,year,mileage,transmission,price
Honda,BRIO RS 1.2,2020,55434.0,Automatic,181000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,50764.0,Automatic,212000000
Toyota,CALYA G 1.2,2019,90659.0,Automatic,132000000
Toyota,KIJANG INNOVA V 2.0,2013,158669.0,Automatic,178000000
Wuling,CORTEZ S T LUX 1.5,2021,26527.0,Automatic,179000000
Honda,BRIO SATYA E 1.2,2020,22928.0,Automatic,163000000
Mazda,CX-5 ELITE 2.5,2017,44889.0,Automatic,373000000
Toyota,SIENTA Q 1.5,2017,112207.0,Automatic,186000000
Honda,BRIO SATYA E 1.2,2018,35961.0,Automatic,149000000
Toyota,KIJANG INNOVA VENTURER 2.0,2018,97032.0,Automatic,324000000
Wuling,CONFERO S L 1.5,2019,67690.0,Manual,119000000
Mitsubishi,XPANDER EXCEED 1.5,2018,81128.0,Manual,191000000
Toyota,KIJANG INNOVA REBORN VENTURER GASOLINE 2.0,2017,79013.0,Automatic,317000000
Toyota,YARIS S TRD 1.5,2020,61487.0,Automatic,228000000
Honda,BRIO SATYA E 1.2,2016,97128.0,Automatic,127000000
Mitsubishi,XPANDER SPORT 1.5,2018,80941.0,Automatic,198000000
Suzuki,ERTIGA GX 1.5,2019,78531.0,Automatic,183000000
Toyota,KIJANG INNOVA REBORN G 2.0,2017,89457.0,Automatic,251000000
Toyota,SIENTA V 1.5,2017,111609.0,Automatic,174000000
Honda,BRIO RS 1.2,2020,50261.0,Automatic,185000000
Honda,BRIO SATYA E 1.2,2020,43337.0,Automatic,162000000
Honda,BR-V PRESTIGE 1.5,2019,41412.0,Automatic,210000000
Honda,CITY RS HATCHBACK 1.5,2021,30492.0,Automatic,270000000
Honda,HR-V E PLUS 1.5,2020,42850.0,Automatic,282000000
Suzuki,IGNIS GX 1.2,2017,88669.0,Manual,120000000
Nissan,X-TRAIL 2.5,2016,110956.0,Automatic,210000000
Suzuki,ERTIGA DREZA GS 1.4,2016,95539.0,Automatic,158000000
Mazda,BIANTE SKYACTIV 2.0,2017,48097.0,Automatic,223000000
Nissan,GRAND LIVINA SV 1.5,2015,104054.0,Manual,116000000
Mazda,CX-3 TOURING 2.0,2018,73975.0,Automatic,278000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,60960.0,Automatic,214000000
Nissan,MARCH 1.2,2017,57201.0,Automatic,121000000
Daihatsu,XENIA R 1.3,2017,109214.0,Automatic,138000000
Mitsubishi,XPANDER SPORT 1.5,2017,58277.0,Automatic,197000000
Suzuki,ERTIGA GX 1.5,2020,35385.0,Automatic,197000000
Daihatsu,XENIA R SPORTY 1.3,2018,70926.0,Automatic,156000000
Toyota,AVANZA G 1.3,2019,78434.0,Automatic,179000000
